states,Year,Annual Rainfall mm,Season Length Days,Latitude,Longitude,crops,Price/Kg (Naira),Month,inflation_rate(all_item annual),inflation_rate(all_item monthly avg.),inflation_rate(food_item monthly avg.),inflation_rate(food_item monthly avg.)
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,"Beans brown,sold loose",458.333333333333,7,16.05,17.47,18.25,18.25
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Rice Medium Grained,439.665223665223,7,16.05,17.47,18.25,18.25
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,"Gari white,sold loose",394.147465437788,7,16.05,17.47,18.25,18.25
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Beans:white black eye. sold loose,463.793103448276,7,16.05,17.47,18.25,18.25
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,"Gari yellow,sold loose",428.15668202765,7,16.05,17.47,18.25,18.25
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Onion bulb,221.441234929286,7,16.05,17.47,18.25,18.25
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Broken Rice (Ofada),503.495,7,16.05,17.47,18.25,18.25
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Tomato,530.607358840655,7,16.05,17.47,18.25,18.25
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Plantain(unripe),225.81,7,16.05,17.47,18.25,18.25
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Maize grain white sold loose,216.99,7,16.05,17.47,18.25,18.25
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Yam tuber,277.677048437421,7,16.05,17.47,18.25,18.25
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Tomato,499.76179334779,6,16.1,17.58,17.87,17.87
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Onion bulb,228.547919167667,6,16.1,17.58,17.87,17.87
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Maize grain yellow sold loose,247.82,7,16.05,17.47,18.25,18.25
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Plantain(ripe),256.77,7,16.05,17.47,18.25,18.25
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,"Gari yellow,sold loose",425.647321428571,6,16.1,17.58,17.87,17.87
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Beans:white black eye. sold loose,466.748768472906,6,16.1,17.58,17.87,17.87
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,"Gari white,sold loose",407.380952380952,6,16.1,17.58,17.87,17.87
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Rice Medium Grained,383.759398496241,6,16.1,17.58,17.87,17.87
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,"Beans brown,sold loose",465.898617511521,6,16.1,17.58,17.87,17.87
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Broken Rice (Ofada),486.99,6,16.1,17.58,17.87,17.87
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Plantain(unripe),208.99,6,16.1,17.58,17.87,17.87
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Yam tuber,247.698372099695,6,16.1,17.58,17.87,17.87
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Maize grain white sold loose,205.02,6,16.1,17.58,17.87,17.87
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Maize grain yellow sold loose,230.63,6,16.1,17.58,17.87,17.87
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Plantain(ripe),230.06,6,16.1,17.58,17.87,17.87
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Tomato,306.308749999999,2,17.78,16.96,16.13,16.13
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Plantain(ripe),275.18,3,17.26,17.32,16.6,16.6
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Maize grain white sold loose,190.23,3,17.26,17.32,16.6,16.6
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Maize grain yellow sold loose,224.88,3,17.26,17.32,16.6,16.6
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Yam tuber,179.100943464883,3,17.26,17.32,16.6,16.6
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Plantain(unripe),221.19,3,17.26,17.32,16.6,16.6
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Onion bulb,208.271666666667,2,17.78,16.96,16.13,16.13
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Broken Rice (Ofada),462.645,3,17.26,17.32,16.6,16.6
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Rice Medium Grained,390.30303030303,3,17.26,17.32,16.6,16.6
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,"Gari white,sold loose",286.95652173913,3,17.26,17.32,16.6,16.6
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Beans:white black eye. sold loose,400.24154589372,3,17.26,17.32,16.6,16.6
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,"Gari yellow,sold loose",308.30756302521,3,17.26,17.32,16.6,16.6
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Onion bulb,267.402663118886,3,17.26,17.32,16.6,16.6
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Tomato,333.333333333333,3,17.26,17.32,16.6,16.6
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,"Beans brown,sold loose",415.625,3,17.26,17.32,16.6,16.6
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,"Gari yellow,sold loose",284.4065625,2,17.78,16.96,16.13,16.13
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,"Gari white,sold loose",267.459879807692,2,17.78,16.96,16.13,16.13
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Beans:white black eye. sold loose,375.090497737556,2,17.78,16.96,16.13,16.13
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Plantain(ripe),242.5,2,17.78,16.96,16.13,16.13
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Maize grain yellow sold loose,217.3,2,17.78,16.96,16.13,16.13
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Yam tuber,172.48940340909,2,17.78,16.96,16.13,16.13
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Plantain(unripe),193.79,2,17.78,16.96,16.13,16.13
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Broken Rice (Ofada),450.0,2,17.78,16.96,16.13,16.13
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,"Beans brown,sold loose",436.72,2,17.78,16.96,16.13,16.13
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Rice Medium Grained,423.176043956043,2,17.78,16.96,16.13,16.13
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Maize grain white sold loose,200.0,2,17.78,16.96,16.13,16.13
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,"Gari yellow,sold loose",350.146031746032,4,17.24,17.59,17.11,17.11
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Onion bulb,226.333973044499,4,17.24,17.59,17.11,17.11
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Tomato,341.971445008529,4,17.24,17.59,17.11,17.11
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Plantain(ripe),226.64,5,16.25,17.63,17.48,17.48
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Maize grain white sold loose,200.0,5,16.25,17.63,17.48,17.48
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Maize grain yellow sold loose,229.94,5,16.25,17.63,17.48,17.48
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Beans:white black eye. sold loose,391.872427983539,4,17.24,17.59,17.11,17.11
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Yam tuber,254.445556266733,5,16.25,17.63,17.48,17.48
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Broken Rice (Ofada),520.0,5,16.25,17.63,17.48,17.48
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,"Beans brown,sold loose",474.193548387097,5,16.25,17.63,17.48,17.48
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Rice Medium Grained,389.220779220779,5,16.25,17.63,17.48,17.48
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,"Gari white,sold loose",339.652743450321,5,16.25,17.63,17.48,17.48
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Beans:white black eye. sold loose,470.3125,5,16.25,17.63,17.48,17.48
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,"Gari yellow,sold loose",353.035714285714,5,16.25,17.63,17.48,17.48
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,Plantain(unripe),200.0,5,16.25,17.63,17.48,17.48
Abia,2017,2344.1935483870966,269.19354838709677,5.45409529947607,7.5153071,"Gari white,sold loose",334.618437118437,4,17.24,17.59,17.11,17.11
